archetype,archetype_n_users,within_archetype_rank,bgg_id,name,overall_rank,owner_count_in_archetype,owner_share_in_archetype,profile_dimension,manual_label,community_type,community
leaning__dungeon_crawl_cooperative_campaign_adventure,100,13,316554,Dune: Imperium,6,31,0.31,other,Unmatched / skirmish series cluster,franchise_series,16
leaning__dungeon_crawl_cooperative_campaign_adventure,100,14,264220,Tainted Grail: The Fall of Avalon,136,30,0.3,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,12
leaning__dungeon_crawl_cooperative_campaign_adventure,100,15,253344,Cthulhu: Death May Die,54,30,0.3,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,12
leaning__dungeon_crawl_cooperative_campaign_adventure,100,16,373106,Sky Team,33,29,0.29,other,Recent releases / new-hotness cluster,temporal_artifact,19
leaning__dungeon_crawl_cooperative_campaign_adventure,100,17,146021,Eldritch Horror,137,29,0.29,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__dungeon_crawl_cooperative_campaign_adventure,100,18,255984,Sleeping Gods,71,29,0.29,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,12
leaning__dungeon_crawl_cooperative_campaign_adventure,100,19,191189,Aeon's End,107,28,0.28,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,12
leaning__dungeon_crawl_cooperative_campaign_adventure,100,20,266192,Wingspan,38,28,0.28,other,Licensed family/fandom games,franchise_series,34
leaning__historical_wargames_conflict_strategy,60,1,12333,Twilight Struggle,14,39,0.65,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,2,91,Paths of Glory,262,29,0.48333333333333334,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,3,62227,"Labyrinth: The War on Terror, 2001 – ?",644,24,0.4,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,4,62219,Dominant Species,113,23,0.38333333333333336,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,5,21050,Combat Commander: Europe,279,23,0.38333333333333336,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,6,11825,Empire of the Sun: The Pacific War 1941-1945,892,22,0.36666666666666664,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,7,144189,Fire in the Lake,555,21,0.35,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,8,332686,John Company: Second Edition,217,21,0.35,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,9,25021,Sekigahara: The Unification of Japan,229,21,0.35,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,10,822,Carcassonne,239,21,0.35,other,Racing / sports / route bridge,bridge_cluster,38
leaning__historical_wargames_conflict_strategy,60,11,115746,War of the Ring: Second Edition,8,21,0.35,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,12,38996,Washington's War,1073,20,0.3333333333333333,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,13,40354,Maria,431,20,0.3333333333333333,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,14,31260,Agricola,64,20,0.3333333333333333,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__historical_wargames_conflict_strategy,60,15,132018,Churchill,815,19,0.31666666666666665,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,16,111341,The Great Zimbabwe,357,19,0.31666666666666665,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,17,111799,Cuba Libre,731,19,0.31666666666666665,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,18,175914,Food Chain Magnate,49,19,0.31666666666666665,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,19,256960,Pax Pamir: Second Edition,53,19,0.31666666666666665,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
leaning__historical_wargames_conflict_strategy,60,20,30549,Pandemic,170,19,0.31666666666666665,other,Pandemic system cluster,franchise_series,26
leaning__medium_worker_placement_euros,33,1,84876,The Castles of Burgundy,15,22,0.6666666666666666,other,,tiny_fragment,42
