username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions
himokl,75,78,6,1,0,24,16,1,6,2,2,2,0,18,0.07692308,0.012820513,0.0,0.30769232,0.20512821,0.012820513,0.07692308,0.025641026,0.025641026,0.025641026,0.0,0.23076923,current_heavy_euro_engine_builders,0.30769232,0.7692308,0.7300583502117762,10
Honung,76,38,1,2,8,1,0,5,1,1,1,1,1,16,0.02631579,0.05263158,0.21052632,0.02631579,0.0,0.13157895,0.02631579,0.02631579,0.02631579,0.02631579,0.02631579,0.42105263,other,0.42105263,0.57894737,0.7179962675970515,11
ingedico,77,65,3,19,10,4,5,1,0,1,3,0,3,16,0.046153847,0.2923077,0.15384616,0.06153846,0.07692308,0.015384615,0.0,0.015384615,0.046153847,0.0,0.046153847,0.24615385,amerithrash_miniatures_lcg,0.2923077,0.75384617,0.7709540935804235,10
jrsquee,78,155,53,0,4,7,22,6,8,10,15,2,2,26,0.3419355,0.0,0.025806451,0.045161292,0.14193548,0.038709678,0.051612902,0.06451613,0.09677419,0.012903226,0.012903226,0.16774194,bgg_golden_age_canon,0.3419355,0.83225805,0.7934877504557246,11
JwD42,79,92,4,2,0,5,0,10,19,2,14,3,0,33,0.04347826,0.02173913,0.0,0.054347824,0.0,0.10869565,0.20652173,0.02173913,0.1521739,0.032608695,0.0,0.35869566,other,0.35869566,0.6413044,0.7219324807374832,9
larrydurbin,80,117,2,10,15,4,0,4,21,9,5,3,0,44,0.017094018,0.08547009,0.12820514,0.034188036,0.0,0.034188036,0.17948718,0.07692308,0.042735044,0.025641026,0.0,0.37606838,other,0.37606838,0.62393165,0.7549638573476023,10
Nomorepiratedgame,81,14,0,0,3,7,0,0,1,0,1,0,0,2,0.0,0.0,0.21428572,0.5,0.0,0.0,0.071428575,0.0,0.071428575,0.0,0.0,0.14285715,current_heavy_euro_engine_builders,0.5,0.85714287,0.5359011469989722,5
nowhanda,82,52,4,0,1,16,2,4,1,4,2,0,0,18,0.07692308,0.0,0.01923077,0.30769232,0.03846154,0.07692308,0.01923077,0.07692308,0.03846154,0.0,0.0,0.34615386,other,0.34615386,0.65384614,0.6939468448425905,9
okienko12345,83,17,0,2,4,0,9,0,0,0,0,0,0,2,0.0,0.11764706,0.23529412,0.0,0.5294118,0.0,0.0,0.0,0.0,0.0,0.0,0.11764706,historical_wargames_conflict_strategy,0.5294118,0.88235295,0.47514722033018375,4
Peepser,84,43,8,3,0,3,3,0,2,9,0,2,0,13,0.18604651,0.069767445,0.0,0.069767445,0.069767445,0.0,0.046511628,0.20930232,0.0,0.046511628,0.0,0.30232558,other,0.30232558,0.6976744,0.7423105032282363,8
