bgg_id,name,overall_rank,community,manual_label,community_type,average_rating,average_weight,owned,year_published,degree,weighted_degree_strength,betweenness,weighted_clustering,degree_rank,strength_rank,betweenness_rank
314580,Hamburg,2179,2,Current heavy euro engine builders,taste_specialist,7.48659,3.0465,3094,2022,96,22.55762782692909,0.0,0.03579394412740451,1154,1637,175
256320,Fertility,2181,42,,tiny_fragment,7.09268,1.9643,3185,2018,58,8.519927591085432,0.0,0.02794128185934814,2478,2451,175
30658,Rise of Empires,2183,10,BGG Golden Age canon,temporal_canon,7.01403,3.5442,3157,2009,70,13.52874232828617,0.0,0.025368102294429786,2302,2224,175
256804,Exploding Kittens: Party Pack,2184,19,Recent releases / new-hotness cluster,temporal_artifact,7.04546,1.0758,9130,2017,111,19.59357070177793,0.0,0.02675905547696284,701,1847,175
124172,Tsuro of the Seas,2185,25,Party / family / social deduction,taste_cross_over,6.50993,1.412,13365,2012,89,27.542288392782208,0.0,0.04603446816908615,1506,1375,175
123607,Puzzle Strike: Third Edition,2186,9,Amerithrash / miniatures / LCG,taste_specialist,7.16024,2.7222,2300,2012,82,8.801279157400128,0.0,0.01435140260062919,1861,2440,175
369548,After Us,2187,13,Puzzle / nature tableau builders,taste_cross_over,6.78314,2.044,4072,2023,60,10.569474548101423,0.0,0.03390512798591056,2459,2375,175
234260,Prey Another Day,2188,19,Recent releases / new-hotness cluster,temporal_artifact,6.84306,1.1023,5095,2023,104,37.46560187637806,0.0,0.044444974210383355,865,1009,175
143185,Smash Up: The Obligatory Cthulhu Set,2189,39,Take-that card/fandom cluster,franchise_series,6.73702,2.1705,11767,2013,81,22.172561064362522,0.0,0.04043333935561696,1907,1663,175
396895,Corps of Discovery: A Game Set in the World of Manifest Destiny,2190,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.73178,2.7857,3164,2025,80,18.112516120076176,0.0,0.032984513922828744,1956,1938,175
173761,Telestrations: After Dark,2192,25,Party / family / social deduction,taste_cross_over,7.11471,1.0,6280,2015,117,21.67069180309772,0.0,0.026861050734179746,601,1697,175
356952,Empire's End,2193,19,Recent releases / new-hotness cluster,temporal_artifact,6.93391,2.4103,4354,2023,59,16.756731092929837,0.0,0.04950424534106645,2466,2033,175
418062,Railroad Tiles,2194,19,Recent releases / new-hotness cluster,temporal_artifact,7.5644,1.725,3098,2025,91,18.890672385692593,0.0,0.0335565886935318,1400,1899,175
285894,Bravo!,2196,17,Roll-and-write / number dice games,taste_cross_over,7.17671,1.8409,5021,2019,93,17.544259861111637,0.0,0.02838866104486865,1285,1972,175
278553,Silver,2198,13,Puzzle / nature tableau builders,taste_cross_over,7.03948,1.7727,4621,2019,78,14.599789425730702,0.0,0.03457054465448143,2035,2145,175
