level_0,level_1,seed,n_communities,modularity,representative,median_pairwise_nmi,seed_i,seed_j,nmi
pairwise,173,,,,,,13.0,18.0,0.8325563347054805
pairwise,174,,,,,,13.0,19.0,0.6907494460952873
pairwise,175,,,,,,14.0,15.0,0.7180558876077126
pairwise,176,,,,,,14.0,16.0,0.7864368307730654
pairwise,177,,,,,,14.0,17.0,0.7685341361557182
pairwise,178,,,,,,14.0,18.0,0.8015606171478084
pairwise,179,,,,,,14.0,19.0,0.7454438431808897
pairwise,180,,,,,,15.0,16.0,0.6851609903454806
pairwise,181,,,,,,15.0,17.0,0.7551044886398014
pairwise,182,,,,,,15.0,18.0,0.7411970941250975
pairwise,183,,,,,,15.0,19.0,0.7384383907171798
pairwise,184,,,,,,16.0,17.0,0.753660834122601
pairwise,185,,,,,,16.0,18.0,0.7931517911637893
pairwise,186,,,,,,16.0,19.0,0.7290403579768747
pairwise,187,,,,,,17.0,18.0,0.808622351427175
pairwise,188,,,,,,17.0,19.0,0.6895889561884896
pairwise,189,,,,,,18.0,19.0,0.7015458628838014
